Rk,Player,Nation,Pos,Squad,Age,Born,90s,Cmp,Att,Cmp%,TotDist,PrgDist,Cmp,Att,Cmp%,Cmp,Att,Cmp%,Cmp,Att,Cmp%,Ast,xAG,xA,A-xAG,KP,1/3,PPA,CrsPA,Prog,Matches,-9999
126,Karim Dermane,tg TOG,MF,Feyenoord,17,2003,0.1,3,7,42.9,92,54,0,3,0.0,2,2,100.0,1,2,50.0,0,0.0,0.0,0.0,0,1,0,0,0,Matches,51afbba4
127,Cyriel Dessers,ng NGA,FW,Feyenoord,26,1994,12.0,145,210,69.0,1749,259,92,114,80.7,39,59,66.1,2,5,40.0,2,1.6,1.0,+0.4,15,6,4,0,9,Matches,dcb38abe
128,Mark Diemers,nl NED,MFFW,Feyenoord,27,1993,0.2,7,15,46.7,93,38,6,11,54.5,0,2,0.0,1,1,100.0,1,0.2,0.1,+0.8,1,0,0,0,0,Matches,8a6e0e81
129,Ritsu Doan,jp JPN,FWMF,PSV Eindhoven,23,1998,16.8,527,671,78.5,7442,1883,307,357,86.0,155,185,83.8,30,51,58.8,1,2.4,3.8,-1.4,14,47,30,4,55,Matches,d01bbb6f
130,Danilho Doekhi,nl NED,DF,Vitesse,23,1998,28.9,1191,1513,78.7,20667,7330,522,607,86.0,542,656,82.6,93,181,51.4,0,1.0,0.6,-1.0,12,94,3,0,82,Matches,f67c9d29
131,Toni Domgjoni,xk KVX,MF,Vitesse,22,1998,11.9,395,510,77.5,5620,1607,229,266,86.1,113,143,79.0,23,40,57.5,1,1.6,1.4,-0.6,6,27,9,1,30,Matches,ead51916
132,Nick Doodeman,nl NED,FWMF,Cambuur,24,1996,6.5,113,172,65.7,1556,351,64,84,76.2,35,55,63.6,5,13,38.5,3,2.1,1.4,+0.9,16,5,6,3,6,Matches,e8a20073
133,Anastasios Douvikas,gr GRE,FW,Utrecht,21,1999,26.4,262,421,62.2,3650,705,151,210,71.9,78,116,67.2,13,20,65.0,3,3.8,3.6,-0.8,19,20,11,0,27,Matches,853ca71c
134,Augustin Drakpe,nl NED,DF,Sparta R'dam,19,2001,0.3,5,8,62.5,72,26,3,3,100.0,2,3,66.7,0,1,0.0,0,0.0,0.0,0.0,0,0,0,0,0,Matches,08fe4a1a
135,Ibrahim Drešević,xk KVX,DF,Heerenveen,24,1997,22.8,1033,1259,82.0,21013,7723,336,380,88.4,514,574,89.5,161,253,63.6,0,0.9,1.0,-0.9,8,64,7,2,60,Matches,811ca2d3
136,Joel Drommel,nl NED,GK,PSV Eindhoven,24,1996,26.0,509,725,70.2,13534,8879,118,118,100.0,229,235,97.4,158,368,42.9,0,0.0,0.1,0.0,0,11,3,0,0,Matches,510c6a3f
137,Deroy Duarte,cv CPV,MFDF,Fortuna Sittard,22,1999,30.0,707,942,75.1,11558,3136,354,421,84.1,273,345,79.1,57,118,48.3,2,2.4,2.0,-0.4,21,60,12,2,52,Matches,6af8fc5b
138,Laros Duarte,nl NED,MF,Sparta R'dam,24,1997,2.1,64,84,76.2,1430,625,17,21,81.0,30,34,88.2,16,27,59.3,0,0.3,0.2,-0.3,5,14,1,0,8,Matches,4af3d3c8
139,Laros Duarte,nl NED,MF,Groningen,24,1997,25.4,798,1059,75.4,15320,4944,289,331,87.3,387,451,85.8,109,233,46.8,3,2.7,2.4,+0.3,26,89,6,1,89,Matches,4af3d3c8
140,Mikkel Duelund,dk DEN,MFFW,NEC Nijmegen,24,1997,9.7,250,338,74.0,3633,840,144,180,80.0,78,100,78.0,15,20,75.0,2,1.4,1.7,+0.6,12,19,8,0,23,Matches,aaf0fd15
141,Jelle Duin,nl NED,FW,AZ Alkmaar,22,1999,0.2,3,4,75.0,50,0,1,1,100.0,2,3,66.7,0,0,,0,0.0,0.0,0.0,0,0,0,0,0,Matches,722d6a4f
142,Riza Durmisi,dk DEN,DF,Sparta R'dam,27,1994,6.8,158,238,66.4,2847,1178,69,83,83.1,71,94,75.5,15,54,27.8,0,0.2,0.2,-0.2,4,16,4,3,16,Matches,e5cd9da6
143,Zakaria Eddahchouri,nl NED,FW,Go Ahead Eag,21,2000,0.2,3,4,75.0,26,20,3,3,100.0,0,1,0.0,0,0,,0,0.0,0.0,0.0,0,0,0,0,0,Matches,eea195ea
144,Rens van Eijden,nl NED,MFDF,NEC Nijmegen,33,1988,0.3,9,10,90.0,159,61,3,4,75.0,6,6,100.0,0,0,,0,0.0,0.0,0.0,0,0,0,0,1,Matches,6fdb2d24
145,Emanuel Emegha,nl NED,FWMF,Sparta R'dam,18,2003,10.8,131,227,57.7,1660,234,91,125,72.8,29,68,42.6,3,6,50.0,0,0.4,0.6,-0.4,7,6,4,0,6,Matches,a0c590b9
146,Mario Engels,de GER,FW,Sparta R'dam,27,1993,12.2,121,188,64.4,1856,369,57,69,82.6,50,72,69.4,6,15,40.0,1,2.7,1.7,-1.7,10,3,5,3,5,Matches,123de70e
147,Luca Everink,nl NED,DF,Twente,20,2001,1.8,58,77,75.3,979,451,29,31,93.5,24,35,68.6,5,8,62.5,0,0.1,0.1,-0.1,1,2,1,1,3,Matches,b5e490d3
148,Håkon Evjen,no NOR,FWMF,AZ Alkmaar,21,2000,10.1,302,394,76.6,4974,831,160,191,83.8,103,126,81.7,28,45,62.2,1,1.2,1.2,-0.2,10,15,12,2,19,Matches,d019d5db
149,Milan van Ewijk,nl NED,DF,Heerenveen,20,2000,32.2,1206,1635,73.8,21778,7023,526,614,85.7,516,685,75.3,141,255,55.3,1,2.0,1.9,-1.0,21,76,18,8,88,Matches,58448fbb
150,Noah Fadiga,sn SEN,DF,Heracles Almelo,21,1999,30.1,1135,1418,80.0,18526,6426,563,639,88.1,440,518,84.9,94,160,58.8,0,1.1,1.5,-1.1,11,69,10,7,55,Matches,83f03b07
151,Leroy Fer,nl NED,MF,Feyenoord,31,1990,0.1,15,15,100.0,230,74,9,9,100.0,5,5,100.0,1,1,100.0,0,0.0,0.0,0.0,0,2,0,0,1,Matches,3cefa66a
152,Arianit Ferati,xk KVX,MFDF,Fortuna Sittard,23,1997,8.2,209,304,68.8,3540,1275,95,120,79.2,81,110,73.6,22,46,47.8,0,0.5,1.4,-0.5,4,19,5,2,23,Matches,b98b99e8
153,Leandro Fernandes,nl NED,FWMF,Zwolle,21,1999,0.8,16,30,53.3,325,135,5,10,50.0,8,10,80.0,3,6,50.0,0,0.0,0.1,0.0,1,5,1,1,1,Matches,e188b47f
154,Zian Flemming,nl NED,MFFW,Fortuna Sittard,22,1998,27.7,441,646,68.3,7075,1910,225,302,74.5,165,223,74.0,33,74,44.6,4,2.3,2.4,+1.7,30,46,18,3,57,Matches,b3f36e72
155,Juriën Gaari,cw CUW,DF,RKC Waalwijk,27,1993,25.8,824,1145,72.0,14255,5325,368,440,83.6,371,509,72.9,67,124,54.0,1,0.8,1.1,+0.2,10,56,18,9,57,Matches,bf7a9d1a
156,Cody Gakpo,nl NED,FW,PSV Eindhoven,22,1999,21.2,559,813,68.8,7750,2828,326,395,82.5,135,187,72.2,43,129,33.3,12,10.8,9.5,+1.2,71,35,31,6,54,Matches,1971591f
157,Yann Gboho,fr FRA,MFFW,Vitesse,20,2001,10.6,248,320,77.5,3160,942,160,189,84.7,66,80,82.5,6,10,60.0,0,1.0,1.3,-1.0,14,17,18,0,33,Matches,6be41a31
158,Lutsharel Geertruida,nl NED,DF,Feyenoord,21,2000,19.1,979,1088,90.0,16191,5001,454,493,92.1,428,462,92.6,65,93,69.9,0,1.1,1.4,-1.1,11,71,9,1,59,Matches,242e1043
159,Liam van Gelderen,nl NED,DF,Ajax,20,2001,0.6,20,33,60.6,363,124,11,15,73.3,6,11,54.5,3,3,100.0,0,0.0,0.0,0.0,1,0,0,0,1,Matches,b4a3e50f
160,Tristan van Gilst,nl NED,FW,Zwolle,18,2003,0.2,1,3,33.3,8,0,1,2,50.0,0,0,,0,0,,0,0.0,0.0,0.0,0,0,0,0,0,Matches,a4a98497
161,Marco van Ginkel,nl NED,MF,PSV Eindhoven,28,1992,11.0,493,607,81.2,7269,2094,269,311,86.5,169,199,84.9,25,44,56.8,1,1.1,1.5,-0.1,17,64,13,1,46,Matches,47681787
162,Paul Gladon,nl NED,FW,Fortuna Sittard,29,1992,6.7,72,145,49.7,994,172,48,77,62.3,19,44,43.2,4,8,50.0,2,1.0,0.5,+1.0,5,8,2,0,3,Matches,326e96ff
163,Hilary Gong,ng NGA,DFFW,Vitesse,22,1998,0.7,7,12,58.3,115,39,5,6,83.3,1,4,25.0,1,1,100.0,0,0.1,0.1,-0.1,1,1,1,0,1,Matches,f43c9b3f
164,Jay Gorter,nl NED,GK,Ajax,21,2000,1.0,26,32,81.3,608,322,3,4,75.0,16,16,100.0,7,12,58.3,0,0.0,0.0,0.0,0,0,0,0,0,Matches,e0ee850b
165,Mario Götze,de GER,MF,PSV Eindhoven,29,1992,24.6,1339,1549,86.4,17779,3506,827,902,91.7,349,393,88.8,58,79,73.4,4,5.9,8.0,-1.9,57,86,61,8,98,Matches,9efa1d25
166,Kenzo Goudmijn,nl NED,MFFW,Sparta R'dam,19,2001,2.1,71,90,78.9,1261,300,26,31,83.9,34,42,81.0,6,9,66.7,0,0.1,0.3,-0.1,1,5,3,1,6,Matches,94eafdc4
167,Ryan Gravenberch,nl NED,MF,Ajax,19,2002,24.5,1284,1526,84.1,19466,5359,692,786,88.0,470,531,88.5,72,115,62.6,5,3.9,7.1,+1.1,32,144,45,2,127,Matches,b8e740fb
168,Adrian Grbić,at AUT,FWMF,Vitesse,24,1996,8.4,77,141,54.6,1012,181,44,73,60.3,20,31,64.5,3,4,75.0,0,0.6,0.9,-0.6,5,6,3,1,7,Matches,4a987ffa
169,Gabriel Gudmundsson,se SWE,DF,Groningen,22,1999,2.7,72,121,59.5,1398,419,29,36,80.6,28,41,68.3,14,37,37.8,0,0.4,0.3,-0.4,3,2,3,3,5,Matches,d5d22a58
170,Maxim Gullit,nl NED,DF,Cambuur,20,2001,1.3,33,46,71.7,708,239,11,16,68.8,15,18,83.3,7,11,63.6,0,0.0,0.0,0.0,0,2,0,0,0,Matches,e791ed65
171,Simon Gustafson,se SWE,MFFW,Utrecht,26,1995,15.0,469,649,72.3,7808,2357,223,272,82.0,167,228,73.2,53,100,53.0,2,2.3,2.7,-0.3,23,52,29,2,62,Matches,d7556379
172,Rodrigo Guth,br BRA,DF,NEC Nijmegen,20,2000,18.4,765,970,78.9,14668,5131,257,295,87.1,433,498,86.9,68,148,45.9,0,0.6,0.7,-0.6,9,23,4,1,37,Matches,cb1916e0
173,Erick Gutiérrez,mx MEX,MFDF,PSV Eindhoven,26,1995,19.3,1139,1318,86.4,19362,5888,538,594,90.6,472,515,91.7,103,152,67.8,2,0.6,1.3,+1.4,9,134,15,0,88,Matches,c7842dab
174,Albert Guðmundsson,is ISL,FW,AZ Alkmaar,24,1997,12.1,349,441,79.1,5306,1198,189,214,88.3,123,151,81.5,23,36,63.9,1,2.5,2.4,-1.5,16,36,22,3,46,Matches,b79858d5
175,Warner Hahn,sr SUR,GK,Go Ahead Eag,29,1992,19.0,542,808,67.1,15831,12004,115,115,100.0,239,245,97.6,187,444,42.1,0,0.4,0.0,-0.4,2,14,0,0,0,Matches,4117e3f3
176,Tomáš Hájek,cz CZE,DF,Vitesse,29,1991,10.1,327,445,73.5,5908,2505,140,168,83.3,144,184,78.3,33,69,47.8,0,0.4,0.4,-0.4,4,22,3,1,24,Matches,29102874
177,Rami Al Hajj,se SWE,MFFW,Heerenveen,19,2001,5.2,163,203,80.3,2413,688,90,107,84.1,49,61,80.3,13,18,72.2,0,1.3,0.7,-1.3,10,15,2,0,11,Matches,ee21e7b3
178,Tibor Halilović,hr CRO,MFFW,Heerenveen,26,1995,28.7,783,972,80.6,12140,3459,406,481,84.4,295,346,85.3,49,79,62.0,2,3.2,3.2,-1.2,20,76,24,1,94,Matches,e8acf576
179,Denzel Hall,nl NED,DF,Feyenoord,20,2001,0.6,18,24,75.0,216,53,10,13,76.9,6,8,75.0,0,0,,0,0.1,0.1,-0.1,1,0,1,1,0,Matches,99cad471
180,Sébastien Haller,ci CIV,FW,Ajax,27,1994,28.5,542,776,69.8,6854,1118,336,443,75.8,132,181,72.9,18,32,56.3,7,6.6,5.4,+0.4,44,37,16,0,45,Matches,ba115a40
181,Mohamed El Hankouri,nl NED,MFDF,Groningen,24,1997,25.8,638,922,69.2,11551,2785,271,331,81.9,282,388,72.7,71,151,47.0,5,2.5,2.6,+2.5,23,40,23,11,53,Matches,d3a7f047
182,Emil Hansson,se SWE,FWMF,Fortuna Sittard,23,1998,7.2,176,234,75.2,2369,607,115,126,91.3,40,51,78.4,10,35,28.6,0,0.4,0.5,-0.4,4,7,6,2,13,Matches,0b1e3c10
183,Emil Hansson,se SWE,MFFW,Heracles Almelo,23,1998,6.3,142,196,72.4,2157,641,74,82,90.2,51,68,75.0,9,24,37.5,4,2.1,2.0,+1.9,14,9,5,1,13,Matches,0b1e3c10
184,Ridgeciano Haps,sr SUR,FW,Feyenoord,28,1993,0.2,13,17,76.5,165,25,10,11,90.9,2,2,100.0,1,3,33.3,1,0.8,0.0,+0.2,1,0,0,0,0,Matches,c8d7131c
185,Abdou Harroui,nl NED,MF,Sparta R'dam,23,1998,1.0,44,52,84.6,849,113,14,15,93.3,25,28,89.3,3,6,50.0,0,0.0,0.0,0.0,0,5,0,0,1,Matches,65fd099c
186,Pantelis Hatzidiakos,gr GRE,DF,AZ Alkmaar,24,1997,23.4,1404,1635,85.9,27836,11028,461,513,89.9,774,837,92.5,156,246,63.4,0,0.3,0.6,-0.3,3,104,7,1,95,Matches,78a3c38e
187,Thom Haye,nl NED,MF,Heerenveen,26,1995,13.6,591,837,70.6,13516,5291,189,234,80.8,239,302,79.1,156,265,58.9,5,4.0,3.1,+1.0,35,95,25,11,81,Matches,1d110865
188,Freek Heerkens,nl NED,DFMF,Willem II,31,1989,17.8,578,760,76.1,12024,4468,166,198,83.8,336,384,87.5,72,146,49.3,0,0.1,0.2,-0.1,1,47,2,0,39,Matches,38cc300d
189,Ogechika Heil,de GER,FWMF,Go Ahead Eag,20,2000,7.9,164,229,71.6,2472,492,85,101,84.2,59,74,79.7,9,20,45.0,1,1.0,0.9,0.0,10,9,7,2,14,Matches,375b59b4
190,Ramon Hendriks,nl NED,DF,Feyenoord,20,2001,2.7,123,158,77.8,2369,527,47,53,88.7,60,70,85.7,15,28,53.6,0,0.0,0.1,0.0,1,5,0,0,1,Matches,5a28ad23
191,Sam Hendriks,nl NED,FWMF,Cambuur,26,1995,1.4,8,20,40.0,124,37,5,14,35.7,3,5,60.0,0,1,0.0,0,0.0,0.0,0.0,0,0,0,0,0,Matches,ae5dfb6a
192,Jorrit Hendrix,nl NED,MF,Feyenoord,26,1995,3.5,150,192,78.1,2367,743,87,96,90.6,48,63,76.2,11,22,50.0,0,0.3,0.1,-0.3,3,12,1,0,18,Matches,28eea0fc
193,Michaël Heylen,be BEL,DF,Sparta R'dam,27,1994,9.9,339,417,81.3,7477,2942,78,89,87.6,199,216,92.1,57,101,56.4,0,0.1,0.1,-0.1,2,19,1,0,14,Matches,8f299faf
194,Mees Hilgers,nl NED,DF,Twente,20,2001,20.2,870,1073,81.1,17561,5144,264,297,88.9,498,567,87.8,95,180,52.8,1,0.2,0.6,+0.8,5,67,3,0,39,Matches,4eb00fda
195,Bart van Hintum,nl NED,DF,Groningen,34,1987,24.4,1122,1494,75.1,25928,9660,277,309,89.6,589,696,84.6,249,455,54.7,2,1.1,1.2,+0.9,15,67,17,9,59,Matches,918e20ed
196,Mees Hoedemakers,nl NED,MF,Cambuur,23,1998,26.3,869,1154,75.3,16011,4743,356,422,84.4,384,457,84.0,106,216,49.1,1,1.3,1.7,-0.3,20,95,12,2,80,Matches,0914806a
197,Justin Hoogma,nl NED,DFMF,Heracles Almelo,23,1998,8.5,299,371,80.6,6565,2484,73,88,83.0,173,190,91.1,51,86,59.3,0,0.0,0.2,0.0,1,20,2,0,18,Matches,816192f0
198,Sydney van Hooijdonk,nl NED,FW,Heerenveen,21,2000,11.1,139,206,67.5,2172,450,69,92,75.0,46,70,65.7,12,19,63.2,1,1.2,0.5,-0.2,8,14,3,0,15,Matches,5b418e15
199,Jizz Hornkamp,nl NED,FW,Willem II,23,1998,11.9,166,267,62.2,2273,279,105,157,66.9,46,71,64.8,5,10,50.0,0,0.4,0.3,-0.4,7,10,2,0,7,Matches,862a72ea
200,Jeroen Houwen,nl NED,GK,Vitesse,25,1996,14.5,336,530,63.4,9429,7292,73,73,100.0,159,159,100.0,102,293,34.8,0,0.0,0.2,0.0,0,9,1,0,0,Matches,6d8ec266
201,Dean Huiberts,nl NED,MF,Zwolle,21,2000,12.8,325,437,74.4,4697,1350,203,242,83.9,91,116,78.4,19,28,67.9,0,0.5,0.8,-0.5,7,32,5,3,20,Matches,f5649337
202,Daan Huisman,nl NED,MFFW,Vitesse,19,2002,9.9,276,398,69.3,3886,1030,150,191,78.5,82,115,71.3,18,35,51.4,0,1.1,1.2,-1.1,19,19,14,3,31,Matches,d76070fd
203,Melih Ibrahimoglu,tr TUR,MF,Heracles Almelo,21,2000,0.5,14,18,77.8,231,48,8,11,72.7,5,6,83.3,1,1,100.0,0,0.0,0.0,0.0,0,2,0,0,1,Matches,6fa87bf4
204,Jay Idzes,nl NED,DFMF,Go Ahead Eag,21,2000,16.9,659,829,79.5,12936,4531,211,245,86.1,358,398,89.9,77,152,50.7,0,0.1,0.3,-0.1,2,27,3,0,27,Matches,a54ef587
205,Luka Ilić,rs SRB,MFFW,Twente,22,1999,2.6,64,86,74.4,1031,369,33,40,82.5,28,33,84.8,3,5,60.0,0,0.1,0.2,-0.1,2,6,4,0,9,Matches,7bbcff4d
206,Daleho Irandust,se SWE,MFFW,Groningen,23,1998,10.8,257,337,76.3,4368,920,116,136,85.3,105,125,84.0,24,45,53.3,1,2.0,1.2,-1.0,14,27,9,1,25,Matches,371c77c6
207,Jamie Jacobs,nl NED,MF,Cambuur,23,1997,21.2,400,627,63.8,6616,2239,206,286,72.0,140,199,70.4,42,68,61.8,5,3.5,2.8,+1.5,30,37,20,4,58,Matches,de4d92fd
208,Alireza Jahanbakhsh,ir IRN,FW,Feyenoord,27,1993,17.3,561,822,68.2,8976,2369,301,367,82.0,183,254,72.0,50,103,48.5,3,3.1,3.1,-0.1,35,39,42,9,70,Matches,08452314
209,Laurent Jans,lu LUX,DFMF,Sparta R'dam,28,1992,8.6,269,379,71.0,4815,1646,122,151,80.8,104,146,71.2,35,60,58.3,0,0.4,0.6,-0.4,5,27,12,7,29,Matches,0fbb73c2
210,Roel Janssen,nl NED,DF,Fortuna Sittard,31,1990,14.4,640,794,80.6,13544,5121,191,211,90.5,349,398,87.7,95,164,57.9,0,0.1,0.3,-0.1,2,49,5,0,38,Matches,d2c58277
211,Willem Janssen,nl NED,DF,Utrecht,35,1986,21.5,981,1159,84.6,19976,8253,312,344,90.7,539,595,90.6,124,201,61.7,0,0.6,0.6,-0.6,8,62,2,0,67,Matches,c397146c
212,Victor Jensen,dk DEN,MF,Ajax,21,2000,0.2,8,10,80.0,69,9,4,6,66.7,2,2,100.0,0,0,,0,0.0,0.0,0.0,0,0,1,0,1,Matches,97b2279d
213,Ryan Johansson,ie IRL,MFDF,Fortuna Sittard,20,2001,2.3,73,106,68.9,1264,283,38,51,74.5,24,32,75.0,8,13,61.5,0,0.1,0.1,-0.1,2,5,0,0,3,Matches,93750f7d
214,Miliano Jonathans,nl NED,FW,Vitesse,17,2004,0.1,0,2,0.0,0,0,0,0,,0,1,0.0,0,0,,0,0.0,0.0,0.0,0,0,0,0,0,Matches,32dd5ce9
215,Siem de Jong,nl NED,FWMF,Heerenveen,32,1989,15.4,292,430,67.9,4294,1216,156,205,76.1,101,143,70.6,16,31,51.6,1,2.6,2.0,-1.6,20,29,5,1,29,Matches,cf2a6ace
216,Patrick Joosten,nl NED,FW,Cambuur,25,1996,10.7,169,227,74.4,2522,840,93,106,87.7,53,69,76.8,13,27,48.1,3,2.3,2.1,+0.7,14,16,15,6,19,Matches,0086c968
217,Patrick Joosten,nl NED,MFFW,Groningen,25,1996,3.7,51,91,56.0,948,302,22,32,68.8,22,30,73.3,7,24,29.2,0,0.7,0.5,-0.7,5,10,3,0,7,Matches,0086c968
218,Mauro Júnior,br BRA,DF,PSV Eindhoven,22,1999,23.5,1395,1752,79.6,19532,6009,847,947,89.4,417,537,77.7,61,131,46.6,4,4.4,4.0,-0.4,37,98,37,12,82,Matches,a29e5244
219,Daniël van Kaam,nl NED,MFDF,Groningen,21,2000,5.5,219,285,76.8,4212,1090,78,98,79.6,114,130,87.7,25,49,51.0,0,0.2,0.5,-0.2,4,19,8,2,22,Matches,6db01d99
220,Elton Kabangu,cd COD,FW,Willem II,23,1998,10.5,146,228,64.0,1913,337,89,122,73.0,38,56,67.9,7,13,53.8,0,0.8,0.4,-0.8,8,2,4,3,4,Matches,a4add370
221,Rami Kaib,tn TUN,DF,Heerenveen,24,1997,20.6,894,1195,74.8,14465,4489,471,534,88.2,321,420,76.4,75,157,47.8,1,1.4,1.9,-0.4,15,53,22,14,61,Matches,74804a09
222,Yahya Kalley,se SWE,DFMF,Groningen,20,2001,1.9,33,50,66.0,623,284,13,19,68.4,17,23,73.9,3,8,37.5,0,0.1,0.1,-0.1,2,0,2,1,2,Matches,b1120985
223,Issa Kallon,sl SLE,FWMF,Cambuur,25,1996,29.7,575,774,74.3,8264,1669,352,414,85.0,166,220,75.5,30,69,43.5,8,2.3,2.2,+5.7,30,21,39,7,49,Matches,153ed0e4
224,Anargyros Kampetsis,gr GRE,FWMF,Willem II,22,1999,3.6,78,102,76.5,1112,129,37,44,84.1,23,30,76.7,7,9,77.8,2,0.2,0.1,+1.8,4,6,0,0,3,Matches,33d226f8
225,Joeri de Kamps,nl NED,MF,Sparta R'dam,29,1992,13.1,356,456,78.1,6224,2219,179,214,83.6,116,141,82.3,50,74,67.6,0,0.1,0.3,-0.1,3,46,1,0,35,Matches,16886ee5
226,Jesper Karlsson,se SWE,FW,AZ Alkmaar,23,1998,32.3,1004,1428,70.3,16944,4926,499,590,84.6,371,494,75.1,100,230,43.5,12,9.7,9.7,+2.3,72,57,96,27,128,Matches,7952d0c2
227,Souffian El Karouani,ma MAR,DF,NEC Nijmegen,20,2000,28.4,1063,1457,73.0,18371,7232,534,611,87.4,394,511,77.1,111,255,43.5,1,3.6,2.7,-2.6,30,79,25,11,76,Matches,2e5a31cb
228,Neraysho Kasanwirjo,nl NED,DFMF,Groningen,19,2002,30.3,1554,1890,82.2,34880,10204,370,454,81.5,876,967,90.6,289,413,70.0,0,0.8,1.2,-0.8,11,110,7,4,92,Matches,6d25f2fb
229,Gervane Kastaneer,cw CUW,FWMF,Zwolle,25,1996,17.3,182,356,51.1,2535,640,99,150,66.0,57,105,54.3,9,27,33.3,0,1.8,1.9,-1.8,16,12,10,5,17,Matches,0c142e14
230,Fabian de Keijzer,nl NED,GK,Utrecht,21,2000,13.5,264,422,62.6,7777,6363,67,69,97.1,90,91,98.9,99,252,39.3,0,0.0,0.1,0.0,0,8,2,0,1,Matches,fdfc9ace
231,Gyrano Kerk,nl NED,FW,Utrecht,25,1995,2.0,22,36,61.1,337,89,14,21,66.7,6,9,66.7,1,3,33.3,0,0.1,0.1,-0.1,2,0,5,0,6,Matches,eb907bfc
232,Sam Kersten,nl NED,DF,Zwolle,23,1998,12.7,428,519,82.5,9169,2959,111,132,84.1,249,269,92.6,64,107,59.8,0,0.1,0.2,-0.1,4,40,2,0,30,Matches,16ca1157
233,Abdenasser El Khayati,nl NED,MFFW,Willem II,32,1989,0.6,25,33,75.8,352,88,15,18,83.3,7,8,87.5,2,6,33.3,0,0.0,0.0,0.0,0,2,0,0,2,Matches,e5ec1410
234,Orestis Kiomourtzoglou,de GER,MF,Heracles Almelo,23,1998,20.9,775,989,78.4,14078,4034,320,390,82.1,350,416,84.1,86,138,62.3,0,0.5,0.6,-0.5,10,71,5,0,63,Matches,7e138639
235,Tamás Kiss,hu HUN,MFFW,Cambuur,20,2000,3.0,68,95,71.6,982,279,42,49,85.7,22,32,68.8,3,8,37.5,0,0.6,1.1,-0.6,4,3,6,1,10,Matches,b9e1d786
236,Davy Klaassen,nl NED,MF,Ajax,28,1993,20.0,527,647,81.5,7108,1914,310,368,84.2,132,158,83.5,32,42,76.2,0,2.2,4.2,-2.2,17,51,12,0,43,Matches,15fd5593
237,Ruben Kluivert,nl NED,DF,Utrecht,20,2001,0.0,0,0,,0,0,0,0,,0,0,,0,0,,0,0.1,0.0,-0.1,1,0,0,0,0,Matches,a8dccedc
238,Mats Knoester,nl NED,DF,Heracles Almelo,22,1998,29.6,1325,1656,80.0,27527,10559,386,446,86.5,735,834,88.1,193,334,57.8,0,0.4,0.7,-0.4,6,118,7,2,87,Matches,988dfee2
239,Mats Köhlert,de GER,FWDF,Willem II,23,1998,27.5,1088,1421,76.6,15561,4999,660,744,88.7,329,438,75.1,58,135,43.0,1,2.4,2.4,-1.4,34,60,29,8,76,Matches,3015d86e
240,Derrick Köhn,de GER,DF,Willem II,22,1999,28.1,959,1423,67.4,16441,7011,428,516,82.9,440,581,75.7,75,232,32.3,1,1.1,1.9,-0.1,16,104,15,7,91,Matches,b735b590
241,Orkun Kökçü,tr TUR,MF,Feyenoord,20,2000,29.2,2013,2451,82.1,34719,12225,935,1027,91.0,740,840,88.1,242,405,59.8,9,10.3,10.0,-1.3,101,293,75,5,271,Matches,9bf914b4
242,Rodney Kongolo,nl NED,MF,Heerenveen,23,1998,6.9,205,264,77.7,3196,1004,105,124,84.7,91,113,80.5,5,12,41.7,1,0.6,0.6,+0.4,4,20,2,0,12,Matches,d05d6389
243,Ryan Koolwijk,sr SUR,MF,Zwolle,35,1985,1.9,79,108,73.1,1334,512,40,47,85.1,29,41,70.7,7,12,58.3,0,0.0,0.1,0.0,0,15,0,0,8,Matches,47c66b8c
244,Peer Koopmeiners,nl NED,MF,AZ Alkmaar,21,2000,0.8,27,35,77.1,464,153,12,13,92.3,13,16,81.3,2,5,40.0,0,0.0,0.0,0.0,0,2,1,1,2,Matches,83454d60
245,Teun Koopmeiners,nl NED,MF,AZ Alkmaar,23,1998,1.3,101,121,83.5,2372,859,24,28,85.7,50,56,89.3,26,35,74.3,0,0.4,0.3,-0.4,5,13,3,2,9,Matches,a26fb8aa
246,Joris Kramer,nl NED,DF,Go Ahead Eag,24,1996,24.4,1046,1297,80.6,19834,6670,376,417,90.2,543,623,87.2,108,211,51.2,1,0.9,0.3,+0.1,7,64,1,1,46,Matches,04e82fa0
247,Michiel Kramer,nl NED,FW,RKC Waalwijk,32,1988,25.2,364,541,67.3,4726,887,224,302,74.2,92,147,62.6,15,27,55.6,3,2.1,1.8,+0.9,18,23,11,1,30,Matches,f175ca0a
248,Filip Krastev,bg BUL,MF,Cambuur,19,2001,0.4,13,17,76.5,166,64,6,7,85.7,6,6,100.0,0,0,,0,0.0,0.0,0.0,0,0,1,0,1,Matches,7254ebfb
249,Roy Kuijpers,nl NED,FWMF,RKC Waalwijk,21,2000,2.4,36,57,63.2,560,180,13,21,61.9,14,21,66.7,3,4,75.0,0,0.4,0.5,-0.4,4,3,3,1,6,Matches,d0553d2f
250,Bas Kuipers,nl NED,DF,Go Ahead Eag,26,1994,28.0,906,1250,72.5,15041,5882,445,531,83.8,350,450,77.8,79,185,42.7,3,2.7,2.9,+0.3,27,58,26,10,68,Matches,149b617e
251,Luca de la Torre,us USA,MF,Heracles Almelo,23,1998,30.8,1158,1375,84.2,18374,5119,575,637,90.3,459,514,89.3,78,109,71.6,1,4.4,2.9,-3.4,40,119,21,8,103,Matches,e9241b40
