Rk,Player,Nation,Pos,Squad,Age,Born,90s,Gls,Sh,SoT,SoT%,Sh/90,SoT/90,G/Sh,G/SoT,Dist,FK,PK,PKatt,xG,npxG,npxG/Sh,G-xG,np:G-xG,Matches,-9999
183,Fabiano,br BRA,DFMF,Braga,21,2000,15.8,0,1,0,0.0,0.06,0.00,0.00,,34.0,0,0,0,0.0,0.0,0.01,0.0,0.0,Matches,f5e7fdf9
184,Miguel Falé,pt POR,FWMF,Braga,17,2004,2.8,0,3,2,66.7,1.08,0.72,0.00,0.00,16.7,0,0,0,0.6,0.6,0.20,-0.6,-0.6,Matches,6b0802ea
185,Zouhair Feddal,ma MAR,DF,Sporting CP,32,1989,11.2,0,5,1,20.0,0.44,0.09,0.00,0.00,11.7,0,0,0,0.4,0.4,0.08,-0.4,-0.4,Matches,89151b16
186,Luiz Felipe,br BRA,GK,B-SAD,24,1997,32.0,0,0,0,,0.00,0.00,,,,0,0,0,0.0,0.0,,0.0,0.0,Matches,185084a1
187,Volnei Feltes,br BRA,DF,Estoril,21,2000,1.7,0,0,0,,0.00,0.00,,,,0,0,0,0.0,0.0,,0.0,0.0,Matches,b48349d9
188,Gedson Fernandes,pt POR,MF,Benfica,22,1999,0.6,0,0,0,,0.00,0.00,,,,0,0,0,0.0,0.0,,0.0,0.0,Matches,e2dde94c
189,Ivanildo Fernandes,pt POR,DF,Vizela,25,1996,15.1,0,11,2,18.2,0.73,0.13,0.00,0.00,12.3,0,0,0,0.6,0.6,0.06,-0.6,-0.6,Matches,11e5e469
190,Jorge Filipe Oliveira Fernandes,pt POR,DF,Vitória,24,1997,13.6,0,7,2,28.6,0.51,0.15,0.00,0.00,9.3,0,0,0,0.9,0.9,0.13,-0.9,-0.9,Matches,a17ef4d1
191,Lucas Fernandes,br BRA,MF,Portimonense,23,1997,15.8,1,18,8,44.4,1.14,0.51,0.06,0.13,25.7,0,0,0,0.8,0.8,0.05,+0.2,+0.2,Matches,a109d777
192,Ricardo Fernandes,pt POR,GK,Santa Clara,26,1994,5.9,0,0,0,,0.00,0.00,,,,0,0,0,0.0,0.0,,0.0,0.0,Matches,93d5feb6
193,Roger Fernandes,gw GNB,MFDF,Braga,15,2005,1.3,2,6,3,50.0,4.54,2.27,0.33,0.67,16.1,0,0,0,1.0,1.0,0.17,+1.0,+1.0,Matches,de8f6250
194,Rúben Fernandes,pt POR,DF,Gil Vicente FC,35,1986,32.8,1,16,2,12.5,0.49,0.06,0.06,0.50,11.6,0,0,0,1.3,1.3,0.08,-0.3,-0.3,Matches,c6bdf383
195,Fernando,br BRA,FW,Porto,28,1993,0.1,1,1,1,100.0,18.00,18.00,1.00,1.00,11.6,0,0,0,0.2,0.2,0.15,+0.8,+0.8,Matches,ccd88b8e
196,Nahuel Ferraresi,ve VEN,DF,Estoril,22,1998,22.1,0,9,2,22.2,0.41,0.09,0.00,0.00,11.6,0,0,0,0.6,0.6,0.06,-0.6,-0.6,Matches,719aab45
197,André Ferreira,pt POR,GK,Paços,25,1996,32.0,0,0,0,,0.00,0.00,,,,0,0,0,0.0,0.0,,0.0,0.0,Matches,12c6cbef
198,Filipe Ferreira,pt POR,DFMF,Boavista,30,1990,15.8,0,3,1,33.3,0.19,0.06,0.00,0.00,34.2,1,0,0,0.1,0.1,0.02,-0.1,-0.1,Matches,12f1293b
199,Fernando Ferreira Fonseca,pt POR,DF,Paços,24,1997,16.6,0,3,0,0.0,0.18,0.00,0.00,,24.8,0,0,0,0.1,0.1,0.04,-0.1,-0.1,Matches,ed4fef1c
200,Hélder Ferreira,pt POR,FWMF,Paços,24,1997,17.5,2,26,6,23.1,1.49,0.34,0.08,0.33,18.1,1,0,0,2.2,2.2,0.08,-0.2,-0.2,Matches,6407ce4d
201,João Ferreira,pt POR,DF,Vitória,20,2001,10.9,0,3,0,0.0,0.27,0.00,0.00,,26.1,0,0,0,0.2,0.2,0.07,-0.2,-0.2,Matches,fb37a645
202,Joel Ferreira,pt POR,DF,Arouca,29,1992,0.5,0,0,0,,0.00,0.00,,,,0,0,0,0.0,0.0,,0.0,0.0,Matches,03b64727
203,Diogo Figueiras,pt POR,DF,Famalicão,30,1991,14.1,0,10,4,40.0,0.71,0.28,0.00,0.00,17.2,0,0,0,0.7,0.7,0.07,-0.7,-0.7,Matches,3e587547
204,Tiago Fonseca Morais,pt POR,MFFW,Boavista,17,2003,3.4,0,7,2,28.6,2.03,0.58,0.00,0.00,23.5,0,0,0,0.6,0.6,0.09,-0.6,-0.6,Matches,a951ca82
205,Rui Fonte,pt POR,FW,Estoril,31,1990,14.2,4,22,9,40.9,1.55,0.63,0.18,0.44,14.0,0,0,0,1.2,1.2,0.05,+2.8,+2.8,Matches,6ff8ef56
206,Rui Fonte,pt POR,DF,Braga,31,1990,0.1,0,0,0,,0.00,0.00,,,,0,0,0,0.0,0.0,,0.0,0.0,Matches,6ff8ef56
207,André Franco,pt POR,MF,Estoril,23,1998,28.0,11,54,19,35.2,1.93,0.68,0.11,0.32,21.2,9,5,5,10.2,6.3,0.12,+0.8,-0.3,Matches,86df4d6b
208,Gonçalo Franco,pt POR,MF,Moreirense,20,2000,12.7,0,19,2,10.5,1.49,0.16,0.00,0.00,23.2,0,0,0,0.9,0.9,0.05,-0.9,-0.9,Matches,9029d5f2
209,Fransérgio,br BRA,MF,Braga,30,1990,1.6,0,4,1,25.0,2.48,0.62,0.00,0.00,27.3,0,0,0,0.1,0.1,0.03,-0.1,-0.1,Matches,deba6b05
210,Žiga Frelih,si SVN,GK,Gil Vicente FC,23,1998,19.0,0,0,0,,0.00,0.00,,,,0,0,0,0.0,0.0,,0.0,0.0,Matches,58bef7b2
211,Godfried Frimpong,nl NED,DFMF,Moreirense,22,1999,6.5,0,0,0,,0.00,0.00,,,,0,0,0,0.0,0.0,,0.0,0.0,Matches,fb5f19d5
212,Kanya Fujimoto,jp JPN,MFFW,Gil Vicente FC,22,1999,26.6,3,31,13,41.9,1.17,0.49,0.10,0.23,18.2,0,0,0,2.4,2.4,0.08,+0.6,+0.6,Matches,be040b84
